given_name,Gaia DR3,main_id,common,Vmag,Gmag,plx,plx_err,ly_nom,ly_lb,Con,RA,Dec,spec,lum,var
vv cep,2216536246703152256,V* VV Cep,** WRH   36,4.900,3.940,1.00331,0.10731,3251,2937,Cep,329.16308,63.62555,M2Ibep+B2?ep_sh,Ib,
VY Canis Majoris,5616197646838713728,NAME VY CMa B,** B  719B,10.340,7.352,0.41918,0.40791,7781,3943,CMa,110.74301,-25.76754,,,
,,,,,,,,,,,,,,,
NML Cygni,2065235853217670656,NML Cyg,OH 080.8-01.9,,11.148,0.52792,0.34798,6178,3724,Cyg,311.60641,40.11649,M7/8,,
Eta Carinae,5350358584482202880,* eta Car,SRGA J104503.3-594104,6.480,4.035,NaN,NaN,-1,-1,Car,161.26474,-59.68446,LBV,V,
v762 cas,534889699426804224,HD   7389,TIC 352284047,5.860,4.952,1.31483,0.06929,2481,2356,Cas,19.04957,71.74385,K5,,
,,,,,,,,,,,,,,,
HIP 107418,2203889767044993920,* nu. Cep,TIC 408093341,4.290,4.121,0.93209,0.08651,3499,3202,Cep,326.36216,61.12080,A2Iae,Ia,
HIP 22783,482818271843093376,* alf Cam,TIC 281696989,4.290,4.213,0.59157,0.13331,5513,4499,Cam,73.51255,66.34271,O9Ia,Ia,
HIP 54463,5337891256535666176,* x Car,TIC 306916925,3.830,3.557,0.22276,0.10044,14642,10092,Car,167.14740,-58.97503,G5_0-Ia,Ia,
HIP 107259,2202630001603369856,* mu. Cep,TIC 260614141,4.080,2.451,0.11902,0.26369,27403,8522,Cep,325.87694,58.78003,M2-Ia,Ia,
,,,,,,,,,,,,,,,
HIP 51623,5351420437845776256,HD  91533,TIC 457766442,6.006,5.885,0.41050,0.02530,7945,7484,Car,158.19915,-58.66673,A2Iab/b,Ia,
HIP 52405,5350406619413548032,HD  92964,WISEA J104240.58-591256.7,5.510,5.272,0.47152,0.06689,6917,6058,Car,160.66897,-59.21575,B2.5Ia,Ia,
HIP 51192,5351701122540337792,V* V399 Car,TIC 464732822,4.700,4.483,0.49759,0.11508,6555,5324,Car,156.85190,-57.63879,A9/F0Ia/ab,Ia,
HIP 52004,5350668303173229824,HD  92207,LLNS  2006,5.450,5.226,0.46747,0.06164,6977,6164,Car,159.36272,-58.73332,A0Ia,Ia,
,,,,,,,,,,,,,,,
HIP 112444,2705401759471719168,HD 215667,AP J22464026+0454287,7.830,7.794,5.63308,0.02832,579,576,Peg,341.66778,4.90799,A7IV,I,
HIP 80493,6045440595422971776,HD 147955,AP J16255065-2634062,7.270,8.037,5.88106,0.40924,555,519,Sco,246.46101,-26.56850,B9V,V,
Beta Phoenicis,4933453324590295040,* bet Phe A,WDS J01061-4643A,4.000,3.744,NaN,NaN,-1,-1,Phe,16.52096,-46.71839,,,
AH Sco,5979926504430920192,V* AH Sco,TIC 45344564,8.100,6.031,0.56324,0.07988,5791,5071,Sco,257.82090,-32.32521,M5Ia-Iab,Ia,
,,,,,,,,,,,,,,,
rw cep,2005992002061917312,V* RW Cep,TIC 422108142,6.650,5.585,0.11398,0.03425,28616,22004,Cep,335.77920,55.96322,K2_0-Ia,Ia,
V640 Mon,3131898712120792064,HD  47129,TIC 220197273,6.060,6.016,0.76148,0.07008,4283,3922,Mon,99.35017,6.13539,O8I+O7.5III,I,
AO Cas,394976501194687488,V* AO Cas,TIC 202133804,6.140,6.089,0.75456,0.05794,4322,4014,Cas,4.42941,51.43308,O9.2II+O8V((f)),II,
HD 041161,969823376583544576,HD  41161,TIC 416954881,6.764,6.721,0.67137,0.06053,4858,4456,Aur,91.46855,48.24928,O8Vn,V,
HD 057682,3047763601330845312,HD  57682,TIC 187458882,6.430,6.375,0.89681,0.07394,3637,3360,Mon,110.50860,-8.97932,O9.2IV,I,
P Cygni,2061242908036996352,* P Cyg,TIC 12149245,4.820,4.566,0.62508,0.07292,5218,4673,Cyg,304.44665,38.03290,B1-2Ia-0ep,Ia,
,,,,,,,,,,,,,,,
EZ CMa,2922367976673391232,HD  50896,TIC 78959225,6.910,6.583,0.65045,0.03662,5014,4747,CMa,103.55433,-23.92833,WN4b,,
HD 30353,204531088580182016,HD  30353,LAMOST J044854.23+431639.2,7.760,7.485,0.10037,0.04142,32496,23004,Per,72.22229,43.27557,A5Iap,Ia,
HD 62745,3028867978609417344,HD  62745,TIC 333817448,8.390,7.183,0.17281,0.02510,18874,16480,Pup,116.23747,-15.69722,M3.3Iab,Ia,
HD 48716,3352789979664648064,HD  48716,LAMOST J064514.54+132017.6,7.270,7.179,0.14995,0.02512,21751,18630,Gem,101.31075,13.33593,A0,,
,,,,,,,,,,,,,,,
68 Cygni,1971467916750747264,*  68 Cyg,TIC 138317746,5.000,4.992,1.44978,0.11521,2250,2084,Cyg,319.61330,43.94591,O7.5IIIn((f)),III,
